,ANSICODE,HYDROID,FULLNAME,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
806941,,110378324403,,H2030,0.0,10061.0,+41.7553448,-80.9910791,"POLYGON ((-80.99157799999995 41.755066000000056, -80.99139499999995 41.75602600000008, -80.99075299999998 41.756004000000075, -80.99059999999997 41.75472300000007, -80.99157799999995 41.755066000000056))"
806942,,110378324404,,H2030,0.0,10261.0,+41.7980455,-80.8835128,"POLYGON ((-80.88429899999994 41.798306000000025, -80.88374899999997 41.79858000000007, -80.88255699999996 41.79800800000004, -80.88387199999994 41.79768800000005, -80.88429899999994 41.798306000000025))"
806943,,110378324406,,H2030,0.0,22490.0,+41.7357173,-80.7108532,"POLYGON ((-80.71188999999998 41.73627800000003, -80.71106499999996 41.736552000000074, -80.70932399999998 41.73529400000007, -80.71124799999996 41.73522500000007, -80.71188999999998 41.73627800000003))"
806991,,110378324416,,H2030,0.0,12488.0,+41.7362191,-80.5406593,"POLYGON ((-80.54146299999996 41.73634500000003, -80.53999699999997 41.736848000000066, -80.53975299999996 41.73678000000007, -80.54115799999994 41.73559000000006, -80.54146299999996 41.73634500000003))"
806997,,110378324424,,H2030,0.0,8604.0,+41.8692884,-80.7516999,"POLYGON ((-80.75216499999993 41.86972600000007, -80.75149099999999 41.869954000000064, -80.75121699999994 41.86890200000005, -80.75192099999998 41.86862800000006, -80.75216499999993 41.86972600000007))"
806998,,110378324426,,H2030,0.0,7556.0,+41.8680812,-80.7545035,"POLYGON ((-80.75501299999996 41.868149000000074, -80.75446099999994 41.86858300000006, -80.75397199999998 41.86851400000006, -80.75458499999996 41.86757700000004, -80.75501299999996 41.868149000000074))"
806999,,110378324427,,H2030,0.0,4642.0,+41.8581927,-80.7733545,"POLYGON ((-80.77384199999995 41.85815900000006, -80.77322999999996 41.85861700000004, -80.77295499999997 41.85861600000004, -80.77335299999999 41.85779300000007, -80.77384199999995 41.85815900000006))"
807000,,110378324428,,H2030,0.0,13794.0,+41.8460324,-80.7582112,"POLYGON ((-80.75897999999995 41.845525000000066, -80.75842799999998 41.84689700000007, -80.75744899999995 41.84648500000003, -80.75796999999994 41.84552400000007, -80.75897999999995 41.845525000000066))"
807001,,110378324429,,H2030,0.0,8240.0,+41.8403642,-80.7589934,"POLYGON ((-80.75996299999997 41.84051500000004, -80.75938199999996 41.84072100000003, -80.75797499999999 41.84012500000006, -80.75919899999997 41.84005700000006, -80.75996299999997 41.84051500000004))"
807002,,110378324430,,H2030,0.0,19689.0,+41.8220170,-80.7624495,"POLYGON ((-80.76370999999995 41.821552000000054, -80.76251599999995 41.82258100000007, -80.76138399999996 41.822718000000066, -80.76218099999994 41.82146000000006, -80.76370999999995 41.821552000000054))"
807003,,110378324432,,H2030,0.0,5182.0,+41.8038721,-80.8570031,"POLYGON ((-80.85731799999996 41.80430300000006, -80.85676799999999 41.80425800000006, -80.85658399999994 41.80364000000003, -80.85728699999999 41.80338800000004, -80.85731799999996 41.80430300000006))"
807004,,110378324433,,H2030,0.0,53218.0,+41.8022541,-80.7542032,"POLYGON ((-80.75586499999997 41.80317700000006, -80.75289999999995 41.80267200000003, -80.75287099999997 41.80079600000005, -80.75555999999995 41.80178200000006, -80.75586499999997 41.80317700000006))"
807005,,110378324436,,H2030,0.0,18662.0,+41.7774111,-80.7562523,"POLYGON ((-80.75796599999995 41.77755500000006, -80.75512299999997 41.77803400000005, -80.75487899999996 41.777210000000025, -80.75698799999998 41.77696000000003, -80.75796599999995 41.77755500000006))"
809360,,110378324294,,H2030,0.0,7013.0,+41.8721501,-80.7099678,"POLYGON ((-80.71087199999994 41.87255300000004, -80.71010599999994 41.87255300000004, -80.70924899999994 41.871661000000074, -80.71013699999997 41.87193600000006, -80.71087199999994 41.87255300000004))"
809361,,110378324295,,H2030,0.0,7052.0,+41.8654576,-80.7237031,"POLYGON ((-80.72421399999996 41.86582400000003, -80.72369399999997 41.865984000000026, -80.72323399999993 41.864978000000065, -80.72384599999998 41.86509200000006, -80.72421399999996 41.86582400000003))"
809362,,110378324296,,H2030,0.0,6630.0,+41.8533843,-80.7449343,"POLYGON ((-80.74571899999995 41.85337000000004, -80.74434199999996 41.85382800000008, -80.74409699999995 41.85355300000003, -80.74574899999999 41.85293500000006, -80.74571899999995 41.85337000000004))"
809363,,110378324298,,H2030,0.0,5633.0,+41.8630319,-80.6992504,"POLYGON ((-80.69975899999997 41.86335800000006, -80.69899399999997 41.86340500000006, -80.69887199999994 41.862581000000034, -80.69920799999994 41.86249000000004, -80.69975899999997 41.86335800000006))"
809364,,110378324299,,H2030,0.0,7338.0,+41.8577220,-80.6899450,"POLYGON ((-80.69023999999996 41.85830400000003, -80.68962799999997 41.85818900000004, -80.68975099999994 41.85713700000008, -80.69030199999997 41.85718300000008, -80.69023999999996 41.85830400000003))"
809365,,110378324300,,H2030,0.0,11737.0,+41.8677825,-80.6717173,"POLYGON ((-80.67239699999999 41.86807200000004, -80.67126399999995 41.86818600000004, -80.67089699999997 41.867499000000066, -80.67230499999994 41.86727100000007, -80.67239699999999 41.86807200000004))"
809366,,110378324302,,H2030,0.0,5814.0,+41.8477562,-80.6460920,"POLYGON ((-80.64645399999995 41.84809300000006, -80.64581199999998 41.84816100000006, -80.64571999999998 41.84747500000003, -80.64623999999998 41.84726900000004, -80.64645399999995 41.84809300000006))"
809367,,110378324303,,H2030,0.0,5920.0,+41.8323812,-80.7296270,"POLYGON ((-80.73025199999995 41.832764000000054, -80.72921199999996 41.83267300000006, -80.72930299999996 41.831781000000035, -80.72963899999996 41.83187200000003, -80.73025199999995 41.832764000000054))"
809406,,110378324304,,H2030,0.0,11531.0,+41.8307293,-80.7286097,"POLYGON ((-80.72945499999997 41.83088900000007, -80.72853799999996 41.831255000000056, -80.72761999999994 41.831255000000056, -80.72859799999998 41.82997400000005, -80.72945499999997 41.83088900000007))"
809407,,110378324305,,H2030,0.0,38561.0,+41.8365535,-80.6902938,"POLYGON ((-80.69207499999999 41.83499100000006, -80.69082099999997 41.83666100000005, -80.68831199999994 41.837211000000025, -80.68485599999997 41.83588400000008, -80.69207499999999 41.83499100000006))"
809408,,110378324307,,H2030,0.0,9496.0,+41.8491653,-80.6964392,"POLYGON ((-80.69709399999994 41.849747000000036, -80.69614499999994 41.84961000000004, -80.69617599999998 41.84844300000003, -80.69672599999996 41.84864900000008, -80.69709399999994 41.849747000000036))"
809409,,110378324308,,H2030,0.0,12285.0,+41.7981605,-80.7478466,"POLYGON ((-80.74829899999997 41.79887400000007, -80.74738099999996 41.79855400000008, -80.74747199999996 41.79745600000007, -80.74823599999996 41.79759300000006, -80.74829899999997 41.79887400000007))"
809410,,110378324309,,H2030,0.0,32067.0,+41.7551018,-80.7167417,"POLYGON ((-80.71803899999998 41.755899000000056, -80.71571699999998 41.755877000000055, -80.71568599999995 41.754184000000066, -80.71791599999995 41.754710000000046, -80.71803899999998 41.755899000000056))"
809746,,110378323951,Mill Crk,H2030,0.0,38915.0,+41.7576710,-80.8009071,"POLYGON ((-80.80182899999994 41.756634000000076, -80.80143099999998 41.75851000000006, -80.79944499999993 41.76022500000005, -80.80054499999994 41.75581100000005, -80.80182899999994 41.756634000000076))"
809747,,110378323954,Carson Pond,H2030,0.0,29040.0,+41.8214203,-80.7468955,"POLYGON ((-80.74773899999997 41.822073000000046, -80.74599699999999 41.822714000000076, -80.74694299999999 41.82031100000006, -80.74770699999993 41.82022000000006, -80.74773899999997 41.822073000000046))"
809749,,110378323966,Hickory Lk,H2030,0.0,5741.0,+41.7070875,-80.5389478,"POLYGON ((-80.54048399999994 41.707621000000074, -80.53858199999996 41.70752500000003, -80.53843599999999 41.707111000000054, -80.53958299999994 41.70697700000005, -80.54048399999994 41.707621000000074))"
809831,,110378324073,Armington Lk,H2030,0.0,116304.0,+41.7406283,-80.8864915,"POLYGON ((-80.89357099999995 41.74103100000008, -80.89173699999998 41.742448000000024, -80.88413199999997 41.741599000000065, -80.88737099999997 41.74002200000007, -80.89357099999995 41.74103100000008))"
